Country ,IOS,Region,Population,GDP_PPP,GDP,GDP_PC_PPP,GDP_PC,HDI
Isle of Man,IMY,Northern Europe,n/a,n/a,n/a,n/a,n/a,n/a
Israel,ISR,Western Asia,7733,"234,208.95","257,621.96","30,167.96","33,259.12",0.9
Italy,ITA,Southern Europe,60990,"2,056,688.92","2,013,375.30","33,869.68","36,180.04",0.881
Jamaica,JAM,Caribbean,2784,"22,944.27","14,755.05","8,329.23","5,248.33",0.73
Japan,JPN,Eastern Asia,127144,"4,379,753.13","5,961,065.54","34,262.06","46,131.35",0.912
Jordan,JOR,Western Asia,6318,"69,797.13","31,015.24","11,169.33","4,615.18",0.7
Kazakhstan,KAZ,Central Asia,16441,"343,914.79","203,520.61","20,772.07","11,358.01",0.754
Kenya,KEN,Eastern Africa,44354,"88,893.16","40,697.16","2,136.36",825.05,0.519
Kiribati,KIR,Micronesia,102,n/a,174.98,n/a,n/a,0.629
"Korea, PDR",PRK,Eastern Asia,24895,n/a,n/a,n/a,n/a,n/a
"Korea, Republic ",KOR,Eastern Asia,49263,"1,445,332.48","1,129,598.27","29,034.75","22,388.26",0.909
Kosovo,,Southern Europe,1807,n/a,"6,445.20",n/a,n/a,n/a
Kuwait,KWT,Western Asia,3369,"257,709.72","183,242.59","84,058.16","52,378.60",0.79
Kyrgyzstan,KGZ,Central Asia,5548,"16,105.96","6,474.84","3,062.20","1,178.37",0.622
Lao People's Dem. Republic,LAO,South-Eastern Asia,6770,"26,229.15","9,417.67","4,107.93","1,262.43",0.543
Latvia,LVA,Northern Europe,2050,"41,130.81","28,372.58","19,993.59","13,657.66",0.814
Lebanon,LBN,Western Asia,4822,n/a,"42,945.27",n/a,n/a,0.745
Lesotho,LSO,Southern Africa,2074,"4,672.77","2,447.57","2,129.95","1,150.74",0.461
Liberia,LBR,Western Africa,4294,"2,218.95","1,733.82",537.46,277.9,0.388
Libya,LBY,Northern Africa,6202,n/a,n/a,n/a,n/a,0.769
Liechtenstein,LIE,Western Europe,37,n/a,n/a,n/a,n/a,0.883
Lithuania,LTU,Northern Europe,3017,"68,196.74","42,343.52","22,521.30","14,212.34",0.818
Luxembourg,LUX,Western Europe,530,"46,055.27","55,143.00","88,670.15","111,689.01",0.875
Macao SAR (China),MAC,Eastern Asia,n/a,"64,300.63","43,582.27","115,440.99","66,062.91",n/a
"Macedonia, FYR",MKD,Southern Europe,2107,"24,614.09","9,612.52","11,957.29","5,050.45",0.74
Madagascar,MDG,Eastern Africa,22925,"30,095.72","9,975.12","1,411.94",469.73,0.483
Malawi,MWI,Eastern Africa,16363,"14,960.07","4,263.79",972.64,476.15,0.418
Malaysia,MYS,South-Eastern Asia,29717,"606,097.86","305,032.75","20,925.90","9,979.26",0.769
Maldives,MDV,Southern Asia,345,"3,704.05","2,222.43","11,392.35","6,652.53",0.688
Mali,MLI,Western Africa,15302,"23,904.05","10,387.72","1,509.14",672.25,0.344
Malta,MLT,Southern Europe,429,"11,869.66","8,740.97","28,608.50","22,200.94",0.847
Marshall Islands,MHL,Micronesia,53,n/a,182.4,n/a,n/a,n/a
Martinique,MTQ,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Mauritania,MRT,Western Africa,3890,"11,301.76","4,199.05","3,191.20","1,295.11",0.467
Mauritius,MUS,Eastern Africa,1244,"20,259.75","10,486.04","15,505.78","8,610.64",0.737
Mayotte,MYT,Eastern Africa,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,MEX,Central America,122332,"1,894,552.03","1,178,126.18","16,377.12","10,115.01",0.775
Micronesia (Fed. States of),FSM,Micronesia,104,n/a,326.16,n/a,n/a,0.645
"Moldova, Rep.",MDA,Eastern Europe,3487,"14,877.95","7,252.77","4,179.21","1,970.50",0.66
Monaco,MCO,Western Europe,38,n/a,n/a,n/a,n/a,n/a
Mongolia,MNG,Eastern Asia,2839,"23,359.03","10,271.39","8,718.72","3,700.51",0.675
Montenegro,MNE,Southern Europe,621,"8,767.77","4,373.17","14,127.89","7,244.33",0.791
Montserrat,MSR,Caribbean,n/a,81.02,n/a,"15,762.41","11,342.72",n/a
Morocco,MAR,Northern Africa,33008,"218,283.35","95,981.57","6,763.66","3,074.13",0.591
Mozambique,MOZ,Eastern Africa,25834,"22,754.02","14,243.72",950.87,524.36,0.327
Myanmar,MMR,South-Eastern Asia,53259,"192,055.36",n/a,"3,180.78",913.78,0.498
Namibia,NAM,Southern Africa,2303,"19,429.14","13,072.28","8,360.20","5,369.08",0.608
Nauru,NRU,Micronesia,10,n/a,"18,962.96",n/a,n/a,n/a
Nepal,NPL,Southern Asia,27797,"58,856.31",n/a,"2,221.50",739.14,0.463
